iq,cgpa,10th_marks,12th_marks,communication_skills,placed
99,7.53,77.24,82.97,8,0
115,9.11,84.34,84.3,7.7,0
105,7.48,82.16,70.58,7.2,0
90,7.79,76.47,69.24,5.7,1
105,6.32,75.59,55.87,8.1,1
123,7.28,68.84,81.28,8,0
99,8.11,89.88,87.99,7.1,1
123,5.94,84.59,94.39,5.2,1
70,7.7,89.18,78.66,6.4,0
112,7.6,76.9,65.8,8.3,0
101,7.54,73.43,54.63,9,1
96,8.54,69.22,87.5,6.5,0
101,7.83,83.59,53.44,6.6,1
70,8.98,69.6,70.91,6.8,1
97,6.51,98.49,72.31,7.4,0
105,7.64,66.92,74.17,6.1,0
122,7.58,82.74,75.43,2.7,1
92,6.43,95.67,76.66,8.8,1
88,8.46,85.99,46.02,9.7,1
92,9.82,81.76,75.18,6.1,0
114,7.48,70.32,48.25,5.4,1
105,8.01,66.18,83.79,6.8,1
92,7.58,87.7,68.34,6.7,0
108,6.79,95.06,49.12,8.5,1
101,5.68,75.61,65.23,7.1,1
115,6.79,68.61,68.16,5.8,0
89,6.11,55.42,89.29,5,0
95,9.2,70.19,77.36,8.3,0
94,7.38,78.86,79.13,7.9,1
78,7.15,95.99,89.17,8.6,0
104,8.39,86.73,73.85,5.5,0
104,6.38,83.05,84.05,9.8,1
100,6.73,76,83.21,4.4,0
96,7.57,74.17,59.56,8.1,1
79,8.53,94.06,92.68,4.1,0
94,8,82.01,57.96,5.8,0
95,7.75,58.97,86.01,9.3,0
88,7.58,73.26,56.8,8.2,1
98,7.9,71.42,82.21,6.2,0
106,7.7,74.54,97.34,6.2,1
128,6.47,85.63,72.44,7.2,0
103,7.55,78.93,71.92,7.8,0
104,6.43,79.23,82.33,8.9,1
99,7.58,93.13,71.05,6.3,1
71,7.02,73.04,96.82,4.6,0
100,10,98.64,77.31,7.2,1
101,7.46,73.29,71.16,6.3,0
137,6.1,80.89,68.52,5,1
97,7.37,77.19,63.8,7.4,0
105,8.02,81.23,67.47,6.7,1
99,9.17,84.45,70.79,7.5,1
82,6.91,84.34,69.15,5.7,0
117,5.92,72.47,67.1,7.7,0
111,8.32,68.77,100,5,1
112,6.12,100,62.64,5.8,0
86,7.06,75.16,76.76,6.6,1
121,7.24,86.99,82.11,9.6,0
79,7.43,63.92,82.56,8.2,0
109,8.19,77.2,74.3,8.6,1
133,6.82,78.73,72.11,9.1,1
85,7.23,84.73,80.42,10,1
92,7.49,52.78,78.2,7.1,0
101,7.65,81.66,71.89,9.1,0
92,7.6,68.5,56.26,8.5,1
77,7.94,83.24,69.38,8.5,1
101,8.34,69.64,61.24,9.7,0
84,7.89,71.45,66.99,6.4,0
107,7.95,77.26,75.4,6.3,1
86,5.92,69.48,79.3,7.5,1
123,7.55,75.24,96.37,6.7,1
88,7.98,68.07,68.55,7.5,0
95,8.23,61.67,84.3,9.3,0
112,6.81,90.18,78.67,6.3,1
82,6.84,67.04,90.55,6.5,0
103,6.93,78.21,81.91,7.3,1
120,8.04,87.53,62.9,6.7,1
76,8.53,73.85,54.32,4.1,1
103,7.09,71.75,78.74,6.1,0
104,8.41,82.26,68.66,8,1
112,7.62,91.18,63.24,9.2,1
81,7.38,68.31,59.79,5.3,0
80,7.29,78.5,76.93,5.3,1
108,8.25,62.68,93.09,7,1
104,7.83,76.07,70.1,3.9,0
104,9.78,80.34,82.08,6.3,1
105,6.65,71.45,73.77,4.4,1
90,8.02,75.43,59.53,9.1,1
103,6.97,65.92,83.82,5.8,0
104,6.63,80.77,61.86,9.5,1
89,7.49,90.56,75.26,8.7,0
128,7.64,69.03,70.9,6,0
107,10,73.77,85.72,5.4,1
82,7.32,85.03,62.3,6.7,0
110,6.37,92.12,79.69,6.8,1
85,7.77,65.07,64.92,7.5,0
112,5.43,78.31,68.87,5.8,0
117,7.41,82.83,35,8.1,1
88,7.52,78.98,100,7.4,1
114,8.29,55.23,81.61,6.5,0
106,8.47,85.01,65.79,5.9,0
112,7,95.19,61.5,6.7,1
128,7.35,81.17,69.05,5.8,0
96,6.73,69.69,83.6,7.1,1
89,6.37,74.87,52.29,7.1,0
87,7.81,97.7,73.3,7.4,0
88,6.23,89.1,96.25,9.6,1
99,7.09,86.4,61.39,6.8,1
105,6.5,83.56,75.96,8.5,0
104,8.05,73.39,100,7.3,0
112,9.3,77.99,82.59,6.6,1
100,6.2,79.22,76.51,6.8,0
122,5.65,85.5,81.08,6.9,1
96,7.38,95.09,70.19,7.4,1
141,7.52,91.18,90.6,5.6,1
109,7.72,65.81,70.21,4.8,1
87,7.05,82.24,51.49,8,0
84,7.3,87.37,70.3,8.3,0
107,7.87,86.19,63.4,8.1,0
97,8.54,73.71,71.63,7.2,1
111,5.54,100,71.89,8.2,0
107,7.13,67.23,89.37,8.1,0
99,7.71,69.17,83.34,8.2,1
87,6.58,82.34,78.16,5.7,1
77,9.23,100,74.96,5.4,0
93,6.86,71.64,62.29,6.4,1
113,7.46,77.34,48.83,7,0
103,8.06,90.77,76.36,6.6,1
81,6.91,79.82,84.54,4.2,1
103,5.65,76.65,73.7,9.6,1
106,7.07,85.66,68.58,6.6,1
87,8.53,82.73,80.57,7.3,1
102,7.16,90.3,74,8.9,1
101,6.65,92.91,95.23,3.5,1
83,8.43,83.07,89.79,6.2,1
105,7.17,82.92,86.51,6.4,1
108,6.99,82.14,84.09,6.5,0
116,7.65,84.89,59.52,6.7,1
116,8.27,80.55,82.96,9.2,0
79,9.88,79.99,79.52,8,0
86,8.33,91.97,82.28,8.4,1
108,8.66,95.16,80.91,7.1,1
108,6.99,64.92,80.43,4.9,0
108,6.47,80.1,100,3.9,0
145,7.56,73.11,74.09,4.7,1
109,7.61,76.89,86.24,7.5,0
117,6.42,84.03,69.35,7,1
114,7.32,86.69,84.49,6.7,1
110,7.9,78.88,86.27,6.4,1
95,7.86,60.87,79.37,10,1
111,8,70.35,95.03,5.8,0
88,7.79,88.96,64.39,8.4,0
96,6.99,52.6,69.15,7,0
93,6.99,91.87,77.55,6.9,1
101,6.3,85.21,85.57,8.8,1
135,9.28,93.16,77.15,9.2,1
72,7.51,78.01,90.43,6.6,0
110,7.28,59.39,67.06,8.2,1
76,6.57,84.3,61.31,7.5,0
93,10,92.75,78.7,7,1
116,6.43,89.25,74.07,7.3,0
101,7.07,73.37,81.51,6,0
84,7.92,80.87,74.67,6.5,0
89,8.1,74.67,70.92,6.1,0
110,8.46,71.81,74.1,8.4,1
89,9.31,89.55,75.35,6.9,1
103,8.01,68.02,71.34,5.1,0
101,6.44,71.06,72.56,5.9,0
90,7.24,68.96,70.16,2.2,1
132,7.81,65.1,85.28,6.3,1
110,9.57,81.46,77.33,7.1,0
70,6.1,91.62,100,6.8,1
103,8.7,78.15,76.93,10,1
90,7.68,64.94,68.39,7.9,0
113,8.34,88.4,100,7.8,1
88,7.4,96.86,79.96,4.5,1
98,6.66,73.54,86.88,6.5,1
108,8.25,75.21,82.11,6.3,0
113,8.15,85.16,82.48,5.8,0
82,8.47,96.22,81.43,5.8,1
95,7.49,74.8,61.77,4.3,1
93,6.9,66.68,79.41,5.1,1
90,5.94,86.31,59.1,8.3,1
126,8.32,87.99,72.91,6.8,1
106,7.92,80.06,66.29,6.2,1
81,6.53,74.42,79.29,7,1
114,6.96,89.94,79.01,8.8,0
132,7.03,85.28,80.77,7,1
115,6.02,72.32,78.45,7.8,1
77,6.68,80.49,67.72,5.7,1
93,6.37,66.48,71.87,6.1,0
119,7.09,86.86,86.04,7.5,1
89,6.76,77.38,87.81,9.8,1
107,5.87,75.64,61.24,9.1,0
112,9.52,79.67,56.63,7.9,0
86,8.75,80.4,66.28,7.2,0
99,6.72,88.95,87.54,9.1,1
70,7.77,85.91,89.58,8.2,1
85,7.92,78.44,63.9,3.6,0
96,8.69,87.64,78.69,5.4,1
81,6.68,84.01,97.01,7.5,1
124,8.59,75.73,79.98,4.3,0
79,6.95,78.75,92.06,5.7,0
93,6.16,78.52,86.98,6,0
102,8.22,85.05,64.08,6.6,0
122,8.79,76.33,72.72,6.6,1
78,10,76.1,75.42,6.6,0
117,6.3,99.69,76.25,8.2,1
100,8.2,89.4,86,6.6,0
85,7.09,72.39,79.9,6.4,1
107,8.28,85.71,39.77,5,0
103,6.03,81.18,59.25,8.5,1
91,6.24,83.92,48.75,6,1
101,6.72,81.37,77.1,5.4,0
94,7.58,91.9,77.89,7.3,1
102,6.86,83.46,78.4,5.8,0
110,8.16,79.38,63.49,6.2,1
124,8.53,90.42,83.09,7.4,1
81,8.1,82.33,83.6,6.5,1
132,9.12,81.21,59.94,10,1
71,7.92,83.14,57.41,6.9,0
98,6.28,79.06,75,7.9,1
109,8.86,80.09,96.5,4.1,1
104,6.89,74.13,95.4,5.7,1
91,8.41,72.49,81.76,5.4,0
97,9.07,70.01,66.24,5.6,0
93,7.96,66.08,85.64,7.6,1
91,6,71.2,69.57,8.6,0
113,6.58,78.26,65.79,7.5,0
105,8.82,81.03,49.27,6.7,0
90,7.33,77.29,76.23,6.1,1
113,7.58,56.44,67.44,8.7,0
105,8.26,95.75,76.16,10,1
112,8.2,90.86,47.41,7.2,0
109,7.78,84.46,77.04,8.4,0
88,7.29,99.07,45.83,7.5,0
92,7.19,70.23,88.06,8.1,1
111,8.36,98.88,81.26,5.3,0
109,8.05,70.35,71.66,6.3,1
100,7.24,82.39,81.75,7.6,1
102,8.58,67.26,63.26,8.8,1
119,7.37,80.15,75.87,5.8,0
91,6.65,83.86,84.54,4,1
108,6.74,78.45,37.87,6.3,0
97,6.52,87.14,69.63,8.5,1
97,7.23,80.99,74.73,4.6,0
116,8.73,74.78,72.64,5.2,0
112,6.69,74.33,92.49,7.2,0
112,7.69,88.11,61.51,6.8,1
120,6.84,73.46,67.55,7.9,0
100,7.24,89.15,52.01,5.2,0
110,5.99,92.23,93.12,6.5,0
95,7.28,63.31,72.04,8.8,0
105,7.31,91.33,69.74,5.2,0
98,8.04,100,74.37,9.2,0
101,7.72,82.52,82.63,5.4,1
109,6.3,85.99,79.17,8.3,1
88,8.58,90.37,100,6.4,0
131,7.71,77.25,80.45,5.3,1
85,7.7,81.82,69.42,6.3,0
82,7.49,66.86,68.26,7.8,1
117,6.98,81.39,70.29,7,1
112,7.72,84.98,56.98,8.7,1
109,7.98,85.16,75.48,9.2,0
109,5.75,90.65,84.4,5.2,0
100,6.96,72.25,67.64,5.1,1
87,7.25,74.67,65.31,5,1
101,7.76,98.96,93.19,5.7,1
90,8.69,78.5,57.88,8.7,1
115,6.73,82,50.19,7.8,1
98,7,79.33,61.17,6.2,0
88,6.99,71.78,56.51,7,0
95,6.7,96.24,79.63,9.1,1
106,7.15,74.72,70.67,9.9,1
92,8.27,68.73,72.36,7.4,0
88,6.45,75.49,88.84,3,0
104,7.93,59.98,66.7,7.4,0
104,5.8,73.49,84.3,8.4,1
92,6.94,70.32,93.14,7.3,1
93,7.17,86.17,69.53,8.1,1
103,9.17,73.27,83.84,7.5,1
78,7.23,88.88,72.1,5.1,0
79,5.3,93.98,86.09,5.7,1
89,5.5,87.81,56.14,6.5,0
97,7.53,77.85,55.25,8.6,1
105,8.11,81.41,70.3,5.9,0
122,7.88,64.75,64.33,7.7,1
113,7.67,78.66,68.8,7.5,1
98,8.66,71.4,72.37,9.4,1
100,6.96,86.94,83.64,6.9,1
85,8.39,100,70.11,4.4,0
100,5.87,85,65.11,8,1
96,6.6,60.09,70.78,10,0
105,5.69,76.39,65.77,8.1,1
88,7.23,81.22,63.79,5.8,1
108,7.45,80.87,55.64,5.4,0
123,7.61,72.69,75.83,5.6,0
98,7.56,82.45,68.18,10,1
106,6.57,67.57,86.6,6.5,0
110,7.31,70.55,57.63,6,0
94,6,86.46,68.49,6.8,1
103,8.86,69.84,96.75,6.5,0
100,7.2,85.38,63.72,9.4,1
101,7.01,66.31,72.16,5.5,1
88,9.09,97.65,60.41,8.8,0
100,6.26,72.26,58.82,7.2,1
107,6.37,77.76,93.57,8.8,1
122,6.4,83.31,77.05,9.4,1
114,7.43,74.35,76.6,7.1,0
132,7.93,81.43,54.64,6.5,0
88,8.24,85.75,79.3,7.1,1
113,10,89.61,88.89,6.9,0
103,5.25,87.91,88.79,4.5,1
133,8.11,78.28,83.02,9.3,1
88,6.94,78.53,61.45,7.4,0
87,6.91,100,78.76,5.3,0
91,6.88,89.5,83.01,3.9,0
70,6.59,70.78,53.47,3.5,0
92,9.18,81,61.54,8.2,1
89,8.34,76.65,85.66,6.1,0
102,7.52,78.65,85.51,6.3,1
105,8.85,67.71,56.42,7.7,1
128,5.99,75.88,84.54,6.2,1
114,6.17,98.12,76.14,7.8,1
91,5.32,85.79,84.37,7.1,0
87,6.8,55.09,67.39,6.9,0
107,7.66,92.17,82.74,4.6,1
80,7.6,90.9,85.13,5.8,1
127,7.65,76.41,70.78,7.9,1
118,6.09,87.17,75.21,6,0
93,8.3,71.41,67.22,8.8,1
74,7.74,75.3,94.82,10,1
120,8.23,94.99,73.56,8,1
98,5.61,77.28,63.94,9.2,0
119,7.81,61.3,66.41,8.1,1
76,6.31,79.37,76.52,6.2,1
91,7.1,79.21,84.04,7.3,0
100,8.03,91.98,58.97,10,1
101,7.59,80.14,97.17,6.2,1
93,6.65,75.78,78.7,5.4,0
109,7.51,90.45,80.6,5.3,0
84,5.97,81.21,73.83,6.7,1
98,8.65,72.5,75.23,5.5,1
102,7.29,91.55,73.22,9.5,1
108,8.62,81.94,87.21,7.3,0
111,6.97,80.03,74.9,8.5,1
83,6.98,81.78,84.2,6.6,0
77,6.74,69.29,69.79,5.3,0
119,8.38,74.72,77.35,5,0
105,6.79,80.04,65.35,5.6,0
89,8.14,78.05,89.6,7.5,1
123,7.12,92.72,65,7.8,1
102,5.52,82.17,71.1,7.9,1
118,6.93,88.55,71.22,4.8,0
101,6.32,80.09,70.75,7,0
131,7.53,90.56,83.67,5.5,0
126,6.31,83.98,71.2,7.6,1
96,8.43,80.13,91.73,7.7,0
115,7.41,79.87,65.18,5.2,0
110,7.32,70.46,77.03,8.5,0
121,8.16,85.07,65.69,10,1
86,8.46,79.6,80.05,8.3,0
110,7.48,74.98,74.81,6.8,1
116,6.73,91.06,73.14,6.5,1
74,5.73,67.5,89.26,6.7,1
82,6.81,75.78,67.15,5.9,0
70,6.88,90.28,82.04,7.4,1
96,7.61,83.16,65.77,5.3,0
111,7.15,79.52,76.35,4.2,0
123,8.19,82.51,60.65,7.3,1
101,6.89,81.79,67.05,7,1
124,7.44,64.83,74.01,6.1,1
79,8.68,76.51,96.78,5.1,1
74,7.84,96.17,76.21,7.4,1
99,7.44,73.41,94.86,5.5,0
106,6.9,76.82,77.64,6.8,1
100,6.87,74.58,70.35,9.6,1
70,6.65,79.13,93.47,8,1
99,6.96,74.17,80.24,4.9,0
80,8.26,84.87,67.29,5.1,0
110,7.28,81.97,80.65,7.2,1
105,6.15,87.74,71.49,4.9,0
86,9.27,69.49,51.13,4,0
92,7.82,76.6,86.23,7.8,1
84,6.09,77.74,88.14,7.5,0
99,7.06,84.56,97.06,7.7,1
114,7.61,72.07,80.07,7.4,1
85,9.2,89.16,72.02,6.9,0
108,6.39,91.86,85.02,6,1
92,8.48,70.11,85.2,7.8,1
88,8.9,75.09,94.66,9.3,1
98,6.87,74.68,74.46,6.2,1
84,7.22,100,73.01,5.5,0
92,6.46,75.7,66.41,5.3,1
82,7.3,96.78,81.45,5.7,1
129,7.46,67.33,56.42,7.3,0
101,8.16,70.1,84.31,3.8,1
90,8.59,73.13,82.05,7.7,1
103,6.75,71.54,82.02,8,1
98,5.53,77.32,76.66,4.3,1
97,7.48,72.91,93.4,5.5,1
109,7.79,71.81,85.46,7.1,1
111,7.75,91.58,67.72,6.8,1
92,7.17,92.24,67.93,7.8,0
91,7.62,89.49,64.44,6.8,1
96,9.02,85.24,81.62,8.9,0
70,7.88,80.93,63,6.5,1
77,7.13,75.03,88,5.5,0
121,7,70.47,90.88,5.4,0
125,7.33,83.63,64.45,8.1,1
96,9.14,68.26,72.77,7,0
109,7.32,70.06,75.2,8,0
105,7.48,91.53,85.61,7.9,1
145,7.02,99.01,94.31,4,0
117,8.6,83.93,54.77,5.3,1
98,9.46,91.06,71.18,5.5,1
86,7.95,77.54,71.81,5.8,0
76,7.58,66.62,58.19,6.4,1
103,7.54,86.12,69.18,8.5,0
89,5.12,85.69,80.13,8.8,0
79,8.25,80.72,71.66,6.6,0
90,7.63,77.58,56.46,6.6,0
84,7.93,89.62,100,5.9,0
125,6.79,70.14,78.19,7.1,1
113,7.12,72.26,76.34,7.3,1
100,7.09,69.92,61.82,8.2,0
122,8.52,80.85,78.13,8.2,1
101,7.12,69.12,73.03,3.5,1
87,9.58,73.16,52.34,6.8,0
123,7.93,72.94,62.16,9.1,1
108,6.22,77.39,84.54,6.3,1
84,7.37,65.13,98.33,8.7,0
97,6.85,80.87,79.41,6.5,1
87,5.31,92.47,88.24,7.3,1
79,9.1,81.35,73.13,5.3,0
114,8.2,95.41,73.96,5.4,1
129,8.03,93.34,88.09,8.1,0
79,7.67,87.78,94.95,8.3,1
108,6.12,80.75,90.61,7,1
90,7.02,80.23,62.2,5.2,1
93,8.34,87.64,74.2,7.1,1
91,6.45,76.08,78.33,8.9,0
87,4.97,61.17,71.88,9.6,1
101,7.27,84.92,79.65,6.5,0
88,7.36,68.69,84.85,4.5,0
104,7.64,70.38,87.03,8.3,1
99,8.23,80,95.23,6.6,0
96,8.14,79.05,71.05,8.4,0
86,7.76,65.88,58.63,7.4,0
91,8.7,81.65,79.3,5.7,0
111,5.98,89.66,97.61,7.1,1
108,8,68.72,69.28,9,0
85,8.13,92.72,83.24,6.8,1
101,6.26,64.4,83.35,5.4,1
111,6,100,77.3,4.6,0
75,6.75,75.89,75.08,5.8,1
108,6.84,81.46,63.92,6.4,0
90,8.25,61.08,47.62,8.2,1
109,6.89,79.38,61.66,5.3,1
89,6.64,82.28,70.32,9.3,1
73,6.89,79.14,88.17,5,0
76,8.62,74.37,73.76,10,1
101,7.51,70.53,68.77,9.6,1
104,7.32,91.31,64.31,7.2,0
86,7.39,80.31,82.88,4.5,1
110,8.79,95.41,91.3,6.9,1
75,6.75,74.74,87.76,6.4,0
99,8.82,75.65,82.27,5.1,0
82,7.71,88.16,57.29,7.4,1
90,7.34,63.77,70.78,5.8,0
101,10,67.87,98.37,5.9,1
87,6.44,90.97,88.46,6.7,1
94,7.15,68.28,56.55,6.1,0
115,6.27,61.81,74.33,10,0
91,8.45,98.69,79.36,6.2,1
113,9.19,66.06,65.85,7.7,1
83,9.17,81.84,47.29,7.2,1
108,8.72,80.69,76.19,7.5,1
122,7.3,51.89,65.55,7.6,0
70,7.13,77.33,65.59,8.3,0
88,5.83,84.48,70.74,7.4,0
109,9.54,83.54,73.4,7.3,1
97,7.97,89.04,74.89,7.1,0
106,7.01,76.13,64.39,6.8,1
91,8.83,87.13,72.36,5.6,0
101,6.53,73.11,53.91,6.9,0
98,7.91,65.9,78.73,7.4,1
118,7.33,67.02,40.72,7.6,0
104,8.14,65.38,71.53,7.3,0
105,7.44,90.1,86.03,6.7,1
94,6.05,64.85,62.29,6.9,1
93,7.58,82.74,83.6,6.2,0
94,8.55,77.34,88.87,7.5,1
106,7.47,78.97,35.31,6.7,0
94,8.28,93.64,73.18,7.3,1
104,6.45,75.62,40.49,8.5,0
131,7.47,86.12,73.58,5.9,1
113,6.88,80.38,74.91,7.9,1
95,8.25,78.48,45.21,7,1
118,7.53,100,98.1,10,1
94,8.19,65.59,78.43,6.7,1
70,8.59,92.89,64.81,8,1
85,8.19,86.56,92.58,7,1
72,7.77,75.2,53.45,4.9,1
95,6.5,96.29,60.25,6.2,1
100,7.5,61.52,47.41,8.3,0
125,6.97,74.78,96.61,6.4,0
105,7.16,67.92,78.99,3.7,0
97,7.13,84.12,82.91,7,1
112,6.52,68.87,78.61,5.4,1
70,5.54,84.33,81.89,7.2,0
104,6.83,78.14,75.94,9.3,1
112,7.69,75.21,78.25,8.2,0
78,6.15,83.89,76.29,9.3,0
117,7.52,77.31,67.7,6.2,0
105,9.4,69.11,74.44,6.8,1
94,8.52,100,78.28,5.4,1
109,9.14,75.13,76.33,6,1
134,7.89,57.82,57.27,5.6,0
103,8.67,71.58,58.86,5,0
104,6.78,67.33,87.99,9,0
93,6.86,88.26,71.32,3.9,1
87,4.76,83.22,82.02,9.1,0
112,8.69,83.99,61.89,8.9,0
87,9.04,76.3,57.32,7.7,1
101,6.95,77.21,64.88,5.3,1
93,7.25,76.29,72.33,4.6,0
107,6.75,79.19,67.02,6.2,1
105,7.88,88.35,90.53,7.9,1
116,8.62,83.36,77.15,7,1
92,5.76,85,97.19,5.4,0
96,7.91,85,79.85,8.7,1
85,7.22,88.84,46.05,9.5,1
93,7.61,82.88,87.67,6.7,0
106,7.96,83.59,56.89,7.2,0
111,7.31,91.89,77.77,4.7,0
86,7.4,73.35,65.7,6.4,0
113,7.29,71.44,100,7.8,1
120,8.47,68.14,92.28,7.5,1
106,7.92,81.83,66.1,6.2,0
128,7.72,61.46,73.47,6.6,1
88,6.23,84.62,77.94,6.3,1
81,7.12,78.91,85.36,6.6,1
73,8.4,91.35,75.35,7.6,0
122,7.54,73.28,62.7,4,1
110,8.16,77.97,66.39,6.9,1
99,9.27,91.22,74.95,7.5,1
104,8.54,93.83,89.81,6.1,1
83,7.59,73.2,80.13,6.3,1
137,6.99,81.82,65.72,6.3,0
102,4.95,82.94,82.78,6.3,0
102,7.33,83.74,70.36,7,1
111,7.17,77.37,85.68,7.2,1
107,7.89,92.81,100,3.8,1
103,7.35,61.1,70.69,8,0
88,7.18,75.79,84.62,6.6,1
107,5.72,84.48,66.06,9.9,0
128,6.56,84.57,73.65,5.2,0
120,7.98,93.53,75.35,5.7,1
124,9.22,91.98,72.68,6.7,0
92,7.4,77.14,100,7.6,0
85,7.83,93,71.32,4.1,1
98,8.45,72.86,82.04,5.8,1
101,6.69,89.31,51.84,7.9,0
116,7.87,98.11,80.18,5.6,1
75,6.76,92.15,88.7,9.1,1
123,8.36,81.06,68.67,6.3,1
98,7.65,76.68,44.88,5.7,1
94,7.8,64.71,74.54,7.9,1
85,6.72,83.11,75.21,9.4,0
75,8.21,68.85,83.69,7.6,0
112,9.58,72.07,99.13,8.9,1
101,6.49,68.09,70.44,9.5,0
81,7.16,75.4,64.72,5.6,0
81,7.73,79.72,61,8.4,0
95,8.29,82.74,77.38,4.7,1
125,6.94,73.99,80.75,7.6,0
96,4.67,90.69,68.45,6.9,1
77,8.86,77.92,84.34,8.9,0
96,8.26,72.12,80.58,8.8,0
96,5.76,82.26,75.52,7.9,0
70,6.89,99.64,64.17,7.4,1
99,9.07,83.35,69.22,7.8,1
97,8.95,76.37,45.84,7.1,1
110,8.44,64.73,77.83,6.9,1
128,7.32,77.81,75.32,9.2,1
117,7.58,82.35,77.26,9.3,1
96,7.37,76.12,81.05,6.8,0
83,8.63,63.35,79.63,7.4,1
139,6.62,71.49,73.68,7.1,0
101,6.69,94.55,75.58,4.6,1
100,8.51,94.34,58.15,6.5,1
100,7.46,71.13,68,9.4,0
103,8.88,86.73,75.61,5.9,1
98,6.83,68.21,66.17,10,1
91,7.45,94.04,85.32,8.8,0
92,6.58,82.45,67.1,7.6,0
100,7.51,89.5,77.6,7.8,0
92,6.02,62.85,76.4,5.6,0
89,7.01,86.78,83.96,6.6,0
102,6.06,79.92,85.81,9.2,0
96,8.19,88.52,83.33,6.1,0
123,8.22,89.15,49.73,8.6,0
70,5.77,80.66,89.33,4.9,0
116,8.83,73.99,93.33,5.2,0
119,10,87.8,69.21,9.9,1
70,7.55,79.4,77.84,7,1
95,6.86,71.27,64.31,6.2,0
94,10,70.8,51.62,9,0
79,6.18,65.23,66.14,8.9,1
88,7.52,74.9,68.52,8.4,1
83,7.68,91.03,70.74,6.1,0
126,8.85,81.78,63.49,6.6,1
114,7.86,74.7,66.2,7.5,1
119,7,88.05,74.87,8,1
111,6.55,71.68,65.76,6.2,0
83,7.16,80.95,81.52,7.3,1
92,6.49,78.2,83.18,7.4,1
107,7.55,87.79,100,8.9,0
82,6.94,64.23,88.51,8.1,0
111,6.01,71.5,77.92,4.7,1
96,8.76,63.62,67.56,6.7,1
94,7,77.4,78.52,5.6,0
111,6.23,92.11,78.92,7.9,0
107,7.33,74.95,68.84,8.4,1
95,7.57,74.89,84.4,7.2,1
117,5.75,88.72,58.22,6.6,0
84,7.83,90.69,72.07,7.1,0
109,6.45,79.11,81.67,7.3,1
109,9.21,86.85,71.55,6,1
95,8.02,69.23,72.52,5.2,1
105,7.1,93.78,73.35,3.9,1
81,6.75,100,64.97,8.9,1
114,7.4,85.21,89.09,7.7,1
97,8.11,59.16,62.78,7.5,0
92,7.47,74.42,78.82,8.9,1
116,7.28,86.13,79.96,5.1,0
89,7.56,75.79,63.62,4.4,0
79,6.9,92.72,75.88,7.6,0
77,7.16,85.88,64.08,7.4,0
109,5.41,72.94,91.69,4.4,0
81,8.47,80.32,61.33,7.5,0
126,7.8,71.06,67.15,6.4,1
70,6.73,78.17,60.31,5.8,1
125,9.4,74.45,58.71,6.5,1
103,7.59,91.75,94.09,3.3,1
